Name,Salesforce Account ID,Infrastructure Project ID,Contract Start Date,Live,Salesforce Opportunity ID,SFDC Magento Account ID,Status
"Results RNA, LLC",0011O00002St0LpQAJ,vzoqtk2nmy2fi,6/8/20,11/25/20,0061C00000i3aVTQAY,0011C00001qfGuDQAU,Live
Rio Branco Com. Ind. de Papéis Ltda,,n5eyx2zfsuzgs,6/30/20,11/24/20,0061C00000hZ0wUQAS,0011C00002j9JEDQA2,Live
PSM Group Holdings Pty Ltd.,,ovjgr5t722evq,6/1/20,11/23/20,0066O00000nJkqfQAC,0016O000037IBacQAG,Live
Dent-O-Care Limited - Starter,,vzopydhevzxp4,6/22/20,11/19/20,0061C00000h9QaMQAU,0011C00002j8qqoQAA,Live
Jack Williams Tire,,hxhnszilp7446,6/12/20,11/18/20,0061C00000dSLiMQAW,0011C000020IUD0QAO,Decommission in Progress
Church & Dwight ltd (Starter),,pyrrlbn4q2o3u,6/5/20,11/18/20,0061C00000iRfCMQA0,0011C00002mok9qQAA,Decommission Submitted
Frabelle Market Corporation,,2n6pctnsl7b5g,6/2/20,11/12/20,0061C00000i3EpyQAE,0011C00002l3iBvQAI,Live
Orthomed Canada,,bndtdiu2z3ddw,6/1/20,11/10/20,0061C00000iS010QAC,0011C00002mp2cpQAA,Live
WHILL / Scootaround,,kkcw5lx5vcayc,6/22/20,11/9/20,0061C00000i3VqUQAU,0011C00002IjZ30QAF,Live
FCA Italy SpA - Instance 3,,ypvke6g7mndwy,6/16/20,11/4/20,0061C00000WQZ1pQAH,0011C00001nvbV6QAI,Live
CVL COSMETICS SA - Valmont Cosmetics,,s4xmcn4qxsvza,6/2/20,11/4/20,0061C00000i2eFMQAY,0011C00002l3F9pQAE,Live
Stark Carpet,,r2nvpyhhp3iwc,6/1/20,11/2/20,0061C00000i4g3aQAA,0011C00002f8IuEQAU,Live
CDS Global - Enterprise - Small Accts - DR2643965,,6uandw42vuxds,6/2/20,10/27/20,,0011500001IhhvIAAR,Live
Mann+Hummel - Bundle Offering AEM  -DR2710261,0013000000oS4tGAAS,acd6jyru2bxvs,6/1/20,10/19/20,0061C00000iSUtIQAW,0011C00002f7hUnQAI,Live
ELABELZ (Taif Al Mustaqbal Fashion LLC),,kzftdoaz3oxue,6/15/20,10/12/20,0061C00000i648cQAA,0011C00002mndByQAI,Decommission in Progress
Corporativo Ferrioni SA de CV,0015Y00002Y1fGwQAJ,n24cfr4yehyjo,6/19/20,10/5/20,0061C00000i6AAHQA2,0011C00002mnje3QAA,Decommission Submitted
ACME Smoked Fish Corp,,xgfpk7i3wfdoq,6/22/20,10/5/20,0061C00000i5IyjQAE,0011C00002mmt0DQAQ,Live
Closely AB,,v2gqopyxoxvba,6/26/20,9/24/20,0061C00000h9iLDQAY,0011C00002j9A2eQAE,Live
